# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 139
# Split No.: 1
# Time: 20250130T170357
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
30T170357125;1;6e0;0000000000000000
30T170357125;1;5e0;0000000001000000
30T170357132;0;65d;0000000000000000
30T170357132;0;65e;0000000000000000
30T170357135;1;6e0;0000000000000000
30T170357135;1;5e0;0000000001000000
30T170357141;0;65d;0000000000000000
30T170357142;0;65e;0000000000000000
30T170357145;1;6e0;0000000000000000
30T170357145;1;5e0;0000000001000000
30T170357151;0;65d;0000000000000000
30T170357152;0;65e;0000000000000000
30T170357152;0;752;0000000000000000
30T170357154;0;751;0000000201000000
30T170357155;1;6e0;0000000000000000
30T170357155;1;5e0;0000000001000000
30T170357161;0;65d;0000000000000000
30T170357161;0;65e;0000000000000000
30T170357164;1;6e0;0000000000000000
30T170357165;1;5e0;0000000001000000
30T170357171;0;65d;0000000000000000
30T170357171;0;65e;0000000000000000
30T170357174;1;6e0;0000000000000000
30T170357175;1;5e0;0000000001000000
30T170357181;0;65d;0000000000000000
30T170357181;0;65e;0000000000000000
30T170357184;1;6e0;0000000000000000
30T170357185;1;5e0;0000000001000000
30T170357185;0;752;0000000000000000
30T170357191;0;65d;0000000000000000
30T170357191;0;65e;0000000000000000
30T170357194;1;6e0;0000000000000000
30T170357195;1;5e0;0000000001000000
30T170357201;0;65d;0000000000000000
30T170357201;0;65e;0000000000000000
30T170357204;0;751;0000000201000000
30T170357204;1;6e0;0000000000000000
30T170357205;1;5e0;0000000001000000
30T170357210;0;65d;0000000000000000
30T170357211;0;65e;0000000000000000
30T170357214;1;6e0;0000000000000000
30T170357214;1;5e0;0000000001000000
30T170357218;0;752;0000000000000000
30T170357220;0;65d;0000000000000000
30T170357221;0;65e;0000000000000000
30T170357224;1;6e0;0000000000000000
30T170357224;1;5e0;0000000001000000
30T170357230;0;65d;0000000000000000
30T170357231;0;65e;0000000000000000
30T170357234;1;6e0;0000000000000000
30T170357234;1;5e0;0000000001000000
30T170357240;0;65d;0000000000000000
30T170357240;0;65e;0000000000000000
30T170357244;1;6e0;0000000000000000
30T170357244;1;5e0;0000000001000000
30T170357250;0;65d;0000000000000000
30T170357250;0;65e;0000000000000000
30T170357251;0;752;0000000000000000
30T170357254;0;751;0000000201000000
30T170357254;1;6e0;0000000000000000
30T170357255;1;5e0;0000000001000000
30T170357260;0;65d;0000000000000000
30T170357260;0;65e;0000000000000000
30T170357264;1;6e0;0000000000000000
30T170357264;1;5e0;0000000001000000
30T170357270;0;65d;0000000000000000
30T170357270;0;65e;0000000000000000
30T170357274;1;6e0;0000000000000000
30T170357274;1;5e0;0000000001000000
30T170357280;0;65d;0000000000000000
30T170357280;0;65e;0000000000000000
30T170357284;0;752;0000000000000000
30T170357284;1;6e0;0000000000000000
30T170357284;1;5e0;0000000001000000
30T170357290;0;65d;0000000000000000
30T170357291;0;65e;0000000000000000
30T170357294;1;6e0;0000000000000000
30T170357294;1;5e0;0000000001000000
30T170357300;0;65d;0000000000000000
30T170357300;0;65e;0000000000000000
30T170357304;0;751;0000000201000000
30T170357304;1;6e0;0000000000000000
30T170357304;1;5e0;0000000001000000
30T170357309;0;65d;0000000000000000
30T170357310;0;65e;0000000000000000
30T170357314;1;6e0;0000000000000000
30T170357314;1;5e0;0000000001000000
30T170357317;0;752;0000000000000000
30T170357319;0;65d;0000000000000000
30T170357320;0;65e;0000000000000000
30T170357324;1;6e0;0000000000000000
30T170357324;1;5e0;0000000001000000
30T170357329;0;65d;0000000000000000
30T170357330;0;65e;0000000000000000
30T170357334;1;6e0;0000000000000000
30T170357334;1;5e0;0000000001000000
30T170357339;0;65d;0000000000000000
30T170357342;0;65e;0000000000000000
30T170357344;1;6e0;0000000000000000
30T170357344;1;5e0;0000000001000000
30T170357349;0;65d;0000000000000000
30T170357349;0;65e;0000000000000000
30T170357350;0;752;0000000000000000
30T170357353;0;751;0000000201000000
30T170357354;1;6e0;0000000000000000
30T170357354;1;5e0;0000000001000000
30T170357359;0;65d;0000000000000000
30T170357359;0;65e;0000000000000000
30T170357364;1;6e0;0000000000000000
30T170357364;1;5e0;0000000001000000
30T170357369;0;65d;0000000000000000
30T170357369;0;65e;0000000000000000
30T170357373;1;6e0;0000000000000000
30T170357374;1;5e0;0000000001000000
30T170357379;0;65d;0000000000000000
30T170357379;0;65e;0000000000000000
30T170357382;0;752;0000000000000000
30T170357384;1;6e0;0000000000000000
30T170357384;1;5e0;0000000001000000
30T170357389;0;65d;0000000000000000
30T170357389;0;65e;0000000000000000
30T170357393;1;6e0;0000000000000000
30T170357394;1;5e0;0000000001000000
30T170357399;0;65d;0000000000000000
30T170357399;0;65e;0000000000000000
30T170357403;0;751;0000000201000000
30T170357404;1;6e0;0000000000000000
30T170357404;1;5e0;0000000001000000
30T170357408;0;65d;0000000000000000
30T170357409;0;65e;0000000000000000
30T170357413;1;6e0;0000000000000000
30T170357414;1;5e0;0000000001000000
30T170357415;0;752;0000000000000000
30T170357418;0;65d;0000000000000000
30T170357419;0;65e;0000000000000000
30T170357423;1;6e0;0000000000000000
30T170357424;1;5e0;0000000001000000
30T170357428;0;65d;0000000000000000
30T170357428;0;65e;0000000000000000
30T170357433;1;6e0;0000000000000000
30T170357434;1;5e0;0000000001000000
30T170357438;0;65d;0000000000000000
30T170357438;0;65e;0000000000000000
30T170357443;1;6e0;0000000000000000
30T170357444;1;5e0;0000000001000000
30T170357448;0;65d;0000000000000000
30T170357448;0;65e;0000000000000000
30T170357449;0;752;0000000000000000
30T170357453;0;751;0000000201000000
30T170357453;1;6e0;0000000000000000
30T170357454;1;5e0;0000000001000000
30T170357458;0;65d;0000000000000000
30T170357458;0;65e;0000000000000000
30T170357463;1;6e0;0000000000000000
30T170357463;1;5e0;0000000001000000
30T170357468;0;65d;0000000000000000
30T170357468;0;65e;0000000000000000
30T170357473;1;6e0;0000000000000000
30T170357473;1;5e0;0000000001000000
30T170357478;0;65d;0000000000000000
30T170357478;0;65e;0000000000000000
30T170357481;0;752;0000000000000000
30T170357483;1;6e0;0000000000000000
30T170357483;1;5e0;0000000001000000
30T170357488;0;65d;0000000000000000
30T170357488;0;65e;0000000000000000
30T170357493;1;6e0;0000000000000000
30T170357493;1;5e0;0000000001000000
30T170357498;0;65d;0000000000000000
30T170357498;0;65e;0000000000000000
30T170357503;0;751;0000000201000000
30T170357503;1;6e0;0000000000000000
30T170357504;1;5e0;0000000001000000
30T170357507;0;65d;0000000000000000
30T170357508;0;65e;0000000000000000
30T170357513;1;6e0;0000000000000000
30T170357513;1;5e0;0000000001000000
30T170357514;0;752;0000000000000000
30T170357517;0;65d;0000000000000000
30T170357518;0;65e;0000000000000000
