Data Set 6:Time(s),Data Set 6:Angle(rad),Data Set 6:Velocity(rad/s),Data Set 6:Acceleration(rad/s²),,,,,,,,,,,,,,,,,,,,
0.0050000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.01,0,0,0,,,,,,,,,,,,,,,,,,,,
0.015000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.02,0,0,0,,,,,,,,,,,,,,,,,,,,
0.025000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.030000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.035000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.040000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.045000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.050000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.055,0,0,0,,,,,,,,,,,,,,,,,,,,
0.060000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.065000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.070000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.075000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.080000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.085000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.090000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.095000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.10000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.105,0,0,0,,,,,,,,,,,,,,,,,,,,
0.11,0,0,0,,,,,,,,,,,,,,,,,,,,
0.115,0,0,0,,,,,,,,,,,,,,,,,,,,
0.12,0,0,0,,,,,,,,,,,,,,,,,,,,
0.125,0,0,0,,,,,,,,,,,,,,,,,,,,
0.13,0,0,0,,,,,,,,,,,,,,,,,,,,
0.13500000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.14000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.14500000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.15000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.155,0,0,0,,,,,,,,,,,,,,,,,,,,
0.16,0,0,0,,,,,,,,,,,,,,,,,,,,
0.16500000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
0.17000000000000000,0,0,0,,,,,,,,,,,,,,,,,,,,
