# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 141
# Split No.: 1
# Time: 20250130T171033
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
30T171033127;1;6e0;0000000000000000
30T171033127;1;5e0;0000000001000000
30T171033130;0;65d;0000000000000000
30T171033130;0;65e;0000000000000000
30T171033137;1;6e0;0000000000000000
30T171033137;1;5e0;0000000001000000
30T171033140;0;65d;0000000000000000
30T171033140;0;65e;0000000000000000
30T171033147;1;6e0;0000000000000000
30T171033147;1;5e0;0000000001000000
30T171033149;0;65d;0000000000000000
30T171033150;0;65e;0000000000000000
30T171033150;0;752;0000000000000000
30T171033157;1;6e0;0000000000000000
30T171033157;1;5e0;0000000001000000
30T171033159;0;65d;0000000000000000
30T171033160;0;65e;0000000000000000
30T171033167;0;751;0000000201000000
30T171033167;1;6e0;0000000000000000
30T171033167;1;5e0;0000000001000000
30T171033169;0;65d;0000000000000000
30T171033169;0;65e;0000000000000000
30T171033177;1;6e0;0000000000000000
30T171033177;1;5e0;0000000001000000
30T171033179;0;65d;0000000000000000
30T171033180;0;65e;0000000000000000
30T171033183;0;752;0000000000000000
30T171033187;1;6e0;0000000000000000
30T171033187;1;5e0;0000000001000000
30T171033189;0;65d;0000000000000000
30T171033189;0;65e;0000000000000000
30T171033197;1;6e0;0000000000000000
30T171033197;1;5e0;0000000001000000
30T171033199;0;65d;0000000000000000
30T171033199;0;65e;0000000000000000
30T171033207;1;6e0;0000000000000000
30T171033207;1;5e0;0000000001000000
30T171033209;0;65d;0000000000000000
30T171033209;0;65e;0000000000000000
30T171033216;0;752;0000000000000000
30T171033217;0;751;0000000201000000
30T171033217;1;6e0;0000000000000000
30T171033217;1;5e0;0000000001000000
30T171033219;0;65d;0000000000000000
30T171033219;0;65e;0000000000000000
30T171033227;1;6e0;0000000000000000
30T171033227;1;5e0;0000000001000000
30T171033229;0;65d;0000000000000000
30T171033229;0;65e;0000000000000000
30T171033237;1;6e0;0000000000000000
30T171033237;1;5e0;0000000001000000
30T171033238;0;65d;0000000000000000
30T171033239;0;65e;0000000000000000
30T171033247;1;6e0;0000000000000000
30T171033247;1;5e0;0000000001000000
30T171033248;0;65d;0000000000000000
30T171033248;0;65e;0000000000000000
30T171033249;0;752;0000000000000000
30T171033256;1;6e0;0000000000000000
30T171033257;1;5e0;0000000001000000
30T171033258;0;65d;0000000000000000
30T171033259;0;65e;0000000000000000
30T171033266;0;751;0000000201000000
30T171033267;1;6e0;0000000000000000
30T171033267;1;5e0;0000000001000000
30T171033268;0;65d;0000000000000000
30T171033268;0;65e;0000000000000000
30T171033276;1;6e0;0000000000000000
30T171033277;1;5e0;0000000001000000
30T171033278;0;65d;0000000000000000
30T171033278;0;65e;0000000000000000
30T171033281;0;752;0000000000000000
30T171033286;1;6e0;0000000000000000
30T171033287;1;5e0;0000000001000000
30T171033288;0;65d;0000000000000000
30T171033288;0;65e;0000000000000000
30T171033296;1;6e0;0000000000000000
30T171033297;1;5e0;0000000001000000
30T171033298;0;65d;0000000000000000
30T171033298;0;65e;0000000000000000
30T171033306;1;6e0;0000000000000000
30T171033307;1;5e0;0000000001000000
30T171033308;0;65d;0000000000000000
30T171033308;0;65e;0000000000000000
30T171033314;0;752;0000000000000000
30T171033316;0;751;0000000201000000
30T171033316;1;6e0;0000000000000000
30T171033317;1;5e0;0000000001000000
30T171033318;0;65d;0000000000000000
30T171033318;0;65e;0000000000000000
30T171033326;1;6e0;0000000000000000
30T171033326;1;5e0;0000000001000000
30T171033328;0;65d;0000000000000000
30T171033328;0;65e;0000000000000000
30T171033336;1;6e0;0000000000000000
30T171033336;1;5e0;0000000001000000
30T171033337;0;65d;0000000000000000
30T171033338;0;65e;0000000000000000
30T171033346;1;6e0;0000000000000000
30T171033346;1;5e0;0000000001000000
30T171033347;0;752;0000000000000000
30T171033347;0;65d;0000000000000000
30T171033348;0;65e;0000000000000000
30T171033356;1;6e0;0000000000000000
30T171033356;1;5e0;0000000001000000
30T171033357;0;65d;0000000000000000
30T171033357;0;65e;0000000000000000
30T171033366;0;751;0000000201000000
30T171033366;1;6e0;0000000000000000
30T171033366;1;5e0;0000000001000000
30T171033367;0;65d;0000000000000000
30T171033367;0;65e;0000000000000000
30T171033376;1;6e0;0000000000000000
30T171033376;1;5e0;0000000001000000
30T171033377;0;65d;0000000000000000
30T171033377;0;65e;0000000000000000
30T171033380;0;752;0000000000000000
30T171033386;1;6e0;0000000000000000
30T171033386;1;5e0;0000000001000000
30T171033387;0;65d;0000000000000000
30T171033387;0;65e;0000000000000000
30T171033396;1;6e0;0000000000000000
30T171033396;1;5e0;0000000001000000
30T171033397;0;65d;0000000000000000
30T171033398;0;65e;0000000000000000
30T171033406;1;6e0;0000000000000000
30T171033406;1;5e0;0000000001000000
30T171033407;0;65d;0000000000000000
30T171033407;0;65e;0000000000000000
30T171033413;0;752;0000000000000000
30T171033416;0;751;0000000201000000
30T171033416;1;6e0;0000000000000000
30T171033416;1;5e0;0000000001000000
30T171033417;0;65d;0000000000000000
30T171033417;0;65e;0000000000000000
30T171033426;1;6e0;0000000000000000
30T171033426;1;5e0;0000000001000000
30T171033427;0;65d;0000000000000000
30T171033427;0;65e;0000000000000000
30T171033436;1;6e0;0000000000000000
30T171033436;1;5e0;0000000001000000
30T171033440;0;65d;0000000000000000
30T171033440;0;65e;0000000000000000
30T171033445;0;752;0000000000000000
30T171033446;1;6e0;0000000000000000
30T171033446;1;5e0;0000000001000000
30T171033446;0;65d;0000000000000000
30T171033447;0;65e;0000000000000000
30T171033455;1;6e0;0000000000000000
30T171033456;1;5e0;0000000001000000
30T171033456;0;65d;0000000000000000
30T171033457;0;65e;0000000000000000
30T171033465;0;751;0000000201000000
30T171033466;1;6e0;0000000000000000
30T171033466;1;5e0;0000000001000000
30T171033466;0;65d;0000000000000000
30T171033467;0;65e;0000000000000000
30T171033475;1;6e0;0000000000000000
30T171033476;1;5e0;0000000001000000
30T171033476;0;65d;0000000000000000
30T171033476;0;65e;0000000000000000
30T171033478;0;752;0000000000000000
30T171033485;1;6e0;0000000000000000
30T171033486;1;5e0;0000000001000000
30T171033486;0;65d;0000000000000000
30T171033486;0;65e;0000000000000000
30T171033495;1;6e0;0000000000000000
30T171033496;1;5e0;0000000001000000
30T171033496;0;65d;0000000000000000
30T171033496;0;65e;0000000000000000
30T171033505;1;6e0;0000000000000000
30T171033506;1;5e0;0000000001000000
30T171033506;0;65d;0000000000000000
30T171033506;0;65e;0000000000000000
30T171033511;0;752;0000000000000000
30T171033515;1;6e0;0000000000000000
30T171033515;1;5e0;0000000001000000
30T171033516;0;65d;0000000000000000
30T171033516;0;65e;0000000000000000
30T171033516;0;751;0000000201000000
