Time,ID,Bus,DataLen,Front_Left_Speed,Front_Right_Speed,
946702807.092000,0x65D,0,8,0RPM,0RPM,
946702807.103000,0x65D,0,8,0RPM,0RPM,
946702807.116000,0x65D,0,8,0RPM,0RPM,
946702807.128000,0x65D,0,8,0RPM,0RPM,
946702807.151000,0x65D,0,8,0RPM,0RPM,
946702807.152000,0x65D,0,8,0RPM,0RPM,
946702807.166000,0x65D,0,8,0RPM,0RPM,
946702807.177000,0x65D,0,8,0RPM,0RPM,
946702807.188000,0x65D,0,8,0RPM,0RPM,
946702807.200000,0x65D,0,8,0RPM,0RPM,
946702807.202000,0x65D,0,8,0RPM,0RPM,
946702807.213000,0x65D,0,8,0RPM,0RPM,
946702807.223000,0x65D,0,8,0RPM,0RPM,
946702807.237000,0x65D,0,8,0RPM,0RPM,
946702807.248000,0x65D,0,8,0RPM,0RPM,
946702807.261000,0x65D,0,8,0RPM,0RPM,
946702807.261000,0x65D,0,8,0RPM,0RPM,
946702807.273000,0x65D,0,8,0RPM,0RPM,
946702807.283000,0x65D,0,8,0RPM,0RPM,
946702807.296000,0x65D,0,8,0RPM,0RPM,
946702807.309000,0x65D,0,8,0RPM,0RPM,
946702807.320000,0x65D,0,8,0RPM,0RPM,
946702807.322000,0x65D,0,8,0RPM,0RPM,
946702807.332000,0x65D,0,8,0RPM,0RPM,
946702807.356000,0x65D,0,8,0RPM,0RPM,
946702807.357000,0x65D,0,8,0RPM,0RPM,
946702807.368000,0x65D,0,8,0RPM,0RPM,
946702807.391000,0x65D,0,8,0RPM,0RPM,
946702807.392000,0x65D,0,8,0RPM,0RPM,
946702807.404000,0x65D,0,8,0RPM,0RPM,
946702807.416000,0x65D,0,8,0RPM,0RPM,
946702807.427000,0x65D,0,8,0RPM,0RPM,
946702807.441000,0x65D,0,8,0RPM,0RPM,
946702807.442000,0x65D,0,8,0RPM,0RPM,
946702807.451000,0x65D,0,8,0RPM,0RPM,
946702807.465000,0x65D,0,8,0RPM,0RPM,
946702807.477000,0x65D,0,8,0RPM,0RPM,
946702807.487000,0x65D,0,8,0RPM,0RPM,
946702807.500000,0x65D,0,8,0RPM,0RPM,
946702807.502000,0x65D,0,8,0RPM,0RPM,
946702807.512000,0x65D,0,8,0RPM,0RPM,
946702807.524000,0x65D,0,8,0RPM,0RPM,
946702807.536000,0x65D,0,8,0RPM,0RPM,
946702807.548000,0x65D,0,8,0RPM,0RPM,
946702807.561000,0x65D,0,8,0RPM,0RPM,
946702807.571000,0x65D,0,8,0RPM,0RPM,
946702807.572000,0x65D,0,8,0RPM,0RPM,
946702807.596000,0x65D,0,8,0RPM,0RPM,
946702807.596000,0x65D,0,8,0RPM,0RPM,
946702807.608000,0x65D,0,8,0RPM,0RPM,
946702807.620000,0x65D,0,8,0RPM,0RPM,
946702807.622000,0x65D,0,8,0RPM,0RPM,
946702807.631000,0x65D,0,8,0RPM,0RPM,
946702807.646000,0x65D,0,8,0RPM,0RPM,
946702807.657000,0x65D,0,8,0RPM,0RPM,
946702807.668000,0x65D,0,8,0RPM,0RPM,
946702807.681000,0x65D,0,8,0RPM,0RPM,
946702807.682000,0x65D,0,8,0RPM,0RPM,
946702807.692000,0x65D,0,8,0RPM,0RPM,
946702807.703000,0x65D,0,8,0RPM,0RPM,
946702807.716000,0x65D,0,8,0RPM,0RPM,
946702807.728000,0x65D,0,8,0RPM,0RPM,
946702807.740000,0x65D,0,8,0RPM,0RPM,
946702807.742000,0x65D,0,8,0RPM,0RPM,
946702807.753000,0x65D,0,8,0RPM,0RPM,
946702807.776000,0x65D,0,8,0RPM,0RPM,
946702807.777000,0x65D,0,8,0RPM,0RPM,
946702807.800000,0x65D,0,8,0RPM,0RPM,
946702807.800000,0x65D,0,8,0RPM,0RPM,
946702807.802000,0x65D,0,8,0RPM,0RPM,
946702807.813000,0x65D,0,8,0RPM,0RPM,
946702807.824000,0x65D,0,8,0RPM,0RPM,
946702807.836000,0x65D,0,8,0RPM,0RPM,
946702807.850000,0x65D,0,8,0RPM,0RPM,
946702807.860000,0x65D,0,8,0RPM,0RPM,
946702807.861000,0x65D,0,8,0RPM,0RPM,
946702807.871000,0x65D,0,8,0RPM,0RPM,
946702807.886000,0x65D,0,8,0RPM,0RPM,
946702807.895000,0x65D,0,8,0RPM,0RPM,
946702807.909000,0x65D,0,8,0RPM,0RPM,
946702807.920000,0x65D,0,8,0RPM,0RPM,
946702807.922000,0x65D,0,8,0RPM,0RPM,
946702807.932000,0x65D,0,8,0RPM,0RPM,
946702807.944000,0x65D,0,8,0RPM,0RPM,
946702807.968000,0x65D,0,8,0RPM,0RPM,
946702807.968000,0x65D,0,8,0RPM,0RPM,
946702807.979000,0x65D,0,8,0RPM,0RPM,
946702807.982000,0x65D,0,8,0RPM,0RPM,
946702807.993000,0x65D,0,8,0RPM,0RPM,
946702808.004000,0x65D,0,8,0RPM,0RPM,
946702808.017000,0x65D,0,8,0RPM,0RPM,
946702808.028000,0x65D,0,8,0RPM,0RPM,
946702808.040000,0x65D,0,8,0RPM,0RPM,
946702808.043000,0x65D,0,8,0RPM,0RPM,
946702808.054000,0x65D,0,8,0RPM,0RPM,
946702808.067000,0x65D,0,8,0RPM,0RPM,
946702808.076000,0x65D,0,8,0RPM,0RPM,
946702808.090000,0x65D,0,8,0RPM,0RPM,
946702808.101000,0x65D,0,8,0RPM,0RPM,
946702808.103000,0x65D,0,8,0RPM,0RPM,
946702808.113000,0x65D,0,8,0RPM,0RPM,
946702808.124000,0x65D,0,8,0RPM,0RPM,
946702808.138000,0x65D,0,8,0RPM,0RPM,
946702808.149000,0x65D,0,8,0RPM,0RPM,
946702808.163000,0x65D,0,8,0RPM,0RPM,
946702808.163000,0x65D,0,8,0RPM,0RPM,
946702808.173000,0x65D,0,8,0RPM,0RPM,
946702808.184000,0x65D,0,8,0RPM,0RPM,
946702808.199000,0x65D,0,8,0RPM,0RPM,
946702808.209000,0x65D,0,8,0RPM,0RPM,
946702808.221000,0x65D,0,8,0RPM,0RPM,
946702808.223000,0x65D,0,8,0RPM,0RPM,
946702808.233000,0x65D,0,8,0RPM,0RPM,
946702808.244000,0x65D,0,8,0RPM,0RPM,
946702808.268000,0x65D,0,8,0RPM,0RPM,
946702808.269000,0x65D,0,8,0RPM,0RPM,
946702808.281000,0x65D,0,8,0RPM,0RPM,
946702808.283000,0x65D,0,8,0RPM,0RPM,
946702808.294000,0x65D,0,8,0RPM,0RPM,
946702808.304000,0x65D,0,8,0RPM,0RPM,
946702808.317000,0x65D,0,8,0RPM,0RPM,
946702808.328000,0x65D,0,8,0RPM,0RPM,
946702808.341000,0x65D,0,8,0RPM,0RPM,
946702808.343000,0x65D,0,8,0RPM,0RPM,
