Time,ID,Bus,DataLen,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,
946702807.087000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.090000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.093000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.096000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.099000,0x000005D0,0,8,0torque:N.m,-0.5torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.102000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.105000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.108000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.111000,0x000005D0,0,8,0torque:N.m,1.4torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.114000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.117000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.120000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.123000,0x000005D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.126000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.129000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.132000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.135000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.8voltage:V,
946702807.138000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.141000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.144000,0x000005D0,0,8,0torque:N.m,0.1torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.147000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.150000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.153000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.156000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.159000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.162000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.165000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.168000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.171000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.174000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.177000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.180000,0x000005D0,0,8,0torque:N.m,1.3torque:N.m,0angular_speed:rpm,241.1voltage:V,
946702807.183000,0x000005D0,0,8,0torque:N.m,0.2torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.186000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.189000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.192000,0x000005D0,0,8,0torque:N.m,0.2torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.195000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.198000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.6voltage:V,
946702807.201000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.204000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.207000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.210000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.213000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.216000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.219000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.222000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.225000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.228000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.231000,0x000005D0,0,8,0torque:N.m,0.9torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.234000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.237000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.240000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.243000,0x000005D0,0,8,0torque:N.m,-0.2torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.246000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.249000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.252000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.255000,0x000005D0,0,8,0torque:N.m,-0.1torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.258000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.261000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.264000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.267000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.270000,0x000005D0,0,8,0torque:N.m,0.9torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.273000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.276000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.279000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.282000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.285000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.288000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.291000,0x000005D0,0,8,0torque:N.m,0.2torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.294000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.297000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.300000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.303000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.306000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.309000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.312000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.315000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.318000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.9voltage:V,
946702807.321000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.324000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.327000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.330000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.333000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.336000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.339000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.342000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.345000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.348000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.351000,0x000005D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.4voltage:V,
